country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,driving,transit,walking
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/16/20,-62,-25,-20,-61,-63,20,64.79,26.61,34.75
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/17/20,-65,-31,-39,-61,-62,20,70.14,27.73,35.84
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/18/20,-64,-27,-16,-55,-24,6,67.4,29.45,38.48
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/19/20,-67,-33,-30,-58,-29,6,54.24,24,27.13
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/20/20,-64,-34,-35,-62,-65,20,58.37,25.07,28.67
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/21/20,-63,-29,-24,-61,-64,20,62.49,27.32,32.78
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/22/20,-66,-34,-38,-62,-64,21,60.67,25.12,29.03
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/23/20,-64,-26,-33,-61,-63,20,63.05,25.44,31.34
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/24/20,-65,-31,-40,-61,-62,20,72.73,28.27,36
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/25/20,-62,-24,-6,-53,-24,5,72.76,32.75,42.56
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/26/20,-64,-31,-22,-56,-27,6,58.04,25.79,30.42
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/27/20,-63,-33,-33,-61,-64,19,61.74,27.17,31.3
US,United States,New York,New York County,,,36061,ChIJOwE7_GTtwokRFq0uOwLSE9g,7/28/20,-63,-30,-27,-61,-64,20,63.81,27.63,32.84
