Date,Borough,count
20201007,Queen,2993
20201008,Bronx,1128
20201008,Brooklyn,16210
20201008,Manhattan,63500
20201008,Queen,3152
20201009,Bronx,1342
20201009,Brooklyn,16701
20201009,Manhattan,66434
20201009,Queen,3167
20201010,Bronx,1203
20201010,Brooklyn,20760
20201010,Manhattan,68371
20201010,Queen,3585
20201011,Bronx,1063
20201011,Brooklyn,16592
20201011,Manhattan,54726
20201011,Queen,3045
20201012,Bronx,247
20201012,Brooklyn,3170
20201012,Manhattan,12355
20201012,Queen,633
20201013,Bronx,724
20201013,Brooklyn,9692
20201013,Manhattan,39739
20201013,Queen,1730
20201014,Bronx,1262
20201014,Brooklyn,16818
20201014,Manhattan,67113
20201014,Queen,3211
20201015,Bronx,1252
20201015,Brooklyn,17059
20201015,Manhattan,69680
20201015,Queen,3304
20201016,Bronx,482
20201016,Brooklyn,5615
20201016,Manhattan,23481
20201016,Queen,1111
20201017,Bronx,1178
20201017,Brooklyn,19541
20201017,Manhattan,64211
20201017,Queen,3408
20201018,Bronx,976
20201018,Brooklyn,17141
20201018,Manhattan,55788
20201018,Queen,3005
20201019,Bronx,1084
20201019,Brooklyn,13624
20201019,Manhattan,55960
20201019,Queen,2668
20201020,Bronx,1186
20201020,Brooklyn,14327
20201020,Manhattan,57952
20201020,Queen,2730
20201021,Bronx,1381
20201021,Brooklyn,15811
20201021,Manhattan,63939
20201021,Queen,3014
20201022,Bronx,1376
20201022,Brooklyn,15655
20201022,Manhattan,63828
20201022,Queen,2989
20201023,Bronx,1391
20201023,Brooklyn,16575
20201023,Manhattan,65886
20201023,Queen,3087
20201024,Bronx,1347
20201024,Brooklyn,20135
20201024,Manhattan,65565
20201024,Queen,3549
20201025,Bronx,910
20201025,Brooklyn,13029
20201025,Manhattan,45539
20201025,Queen,2391
20201026,Bronx,879
20201026,Brooklyn,8576
20201026,Manhattan,39939
20201026,Queen,1741
20201027,Bronx,1297
20201027,Brooklyn,14504
20201027,Manhattan,59444
20201027,Queen,2785
20201028,Bronx,1136
20201028,Brooklyn,12133
20201028,Manhattan,47370
20201028,Queen,2208
20201029,Bronx,403
20201029,Brooklyn,3508
20201029,Manhattan,14495
20201029,Queen,666
20201030,Bronx,720
20201030,Brooklyn,7718
20201030,Manhattan,29657
20201030,Queen,1451
20201031,Bronx,1043
20201031,Brooklyn,14881
20201031,Manhattan,48329
20201031,Queen,2518
20201101,Bronx,508
20201101,Brooklyn,6873
20201101,Manhattan,23992
20201101,Queen,1227
20201102,Bronx,835
20201102,Brooklyn,8773
20201102,Manhattan,39321
20201102,Queen,1681
20201103,Bronx,1007
20201103,Brooklyn,12044
20201103,Manhattan,46767
20201103,Queen,2294
20201104,Bronx,1046
20201104,Brooklyn,12303
20201104,Manhattan,49445
20201104,Queen,2410
20201105,Bronx,1119
20201105,Brooklyn,13979
20201105,Manhattan,56967
20201105,Queen,2660
20201106,Bronx,1171
20201106,Brooklyn,16175
20201106,Manhattan,61822
20201106,Queen,2974
20201107,Bronx,1206
20201107,Brooklyn,22390
20201107,Manhattan,70972
20201107,Queen,3899
20201108,Bronx,1152
20201108,Brooklyn,19193
20201108,Manhattan,62238
20201108,Queen,3564
20201109,Bronx,1260
20201109,Brooklyn,13955
